
# Surface 0 of 1 surfaces

# Curve title: ""ENGN1580_contourtmp1.dat""

# Contour 0, label:      0.8
-2.08338 -0.344801  0.8 
-2.26001 -0.41674  0.8 
-2.50004 -0.600139  0.8 
-2.6321 -0.8334  0.8 
-2.6058 -1.25006  0.8 
-2.50004 -1.40554  0.8 
-2.08338 -1.66196  0.8 
-1.66672 -1.55585  0.8 
-1.40354 -1.25006  0.8 
-1.37255 -0.8334  0.8 
-1.66672 -0.422329  0.8 
-1.68442 -0.41674  0.8 
-2.08338 -0.344801  0.8 


# Contour 1, label:      0.6
-2.08338  0.00782983  0.6 
-2.11075 -8e-05  0.6 
-2.50004 -0.128734  0.6 
-2.81651 -0.41674  0.6 
-2.9167 -0.619986  0.6 
-2.99925 -0.8334  0.6 
-2.9811 -1.25006  0.6 
-2.9167 -1.3887  0.6 
-2.7463 -1.66672  0.6 
-2.50004 -1.87272  0.6 
-2.08338 -2.00517  0.6 
-1.66672 -1.95039  0.6 
-1.25006 -1.67696  0.6 
-1.24056 -1.66672  0.6 
-1.02212 -1.25006  0.6 
-1.00426 -0.8334  0.6 
-1.17666 -0.41674  0.6 
-1.25006 -0.330702  0.6 
-1.66672 -0.0485163  0.6 
-2.02158 -8e-05  0.6 
-2.08338  0.00782983  0.6 


# Contour 2, label:      0.4
-2.50004  0.266247  0.4 
-2.91241 -8e-05  0.4 
-2.9167 -0.00385468  0.4 
-3.22662 -0.41674  0.4 
-3.33336 -0.794371  0.4 
-3.34526 -0.8334  0.4 
-3.33336 -1.15971  0.4 
-3.3307 -1.25006  0.4 
-3.18353 -1.66672  0.4 
-2.9167 -1.99366  0.4 
-2.80172 -2.08338  0.4 
-2.50004 -2.26855  0.4 
-2.08338 -2.36197  0.4 
-1.66672 -2.32337  0.4 
-1.25006 -2.13059  0.4 
-1.19038 -2.08338  0.4 
-0.8334 -1.68518  0.4 
-0.820465 -1.66672  0.4 
-0.656533 -1.25006  0.4 
-0.643077 -0.8334  0.4 
-0.772587 -0.41674  0.4 
-0.8334 -0.322329  0.4 
-1.08983 -8e-05  0.4 
-1.25006  0.133274  0.4 
-1.66672  0.319099  0.4 
-2.08338  0.356281  0.4 
-2.50004  0.266247  0.4 


# Contour 3, label:      0.2
-2.9167  0.560142  0.2 
-3.10554  0.41658  0.2 
-3.33336  0.20844  0.2 
-3.5073 -8e-05  0.2 
-3.7055 -0.41674  0.2 
-3.75002 -0.654348  0.2 
-3.79641 -0.8334  0.2 
-3.78436 -1.25006  0.2 
-3.75002 -1.36007  0.2 
-3.67828 -1.66672  0.2 
-3.44345 -2.08338  0.2 
-3.33336 -2.20873  0.2 
-2.98581 -2.50004  0.2 
-2.9167 -2.55082  0.2 
-2.50004 -2.7469  0.2 
-2.08338 -2.8124  0.2 
-1.66672 -2.78547  0.2 
-1.25006 -2.65043  0.2 
-1.01747 -2.50004  0.2 
-0.8334 -2.37329  0.2 
-0.556712 -2.08338  0.2 
-0.41674 -1.83747  0.2 
-0.317535 -1.66672  0.2 
-0.197138 -1.25006  0.2 
-0.187217 -0.8334  0.2 
-0.282457 -0.41674  0.2 
-0.41674 -0.165055  0.2 
-0.500022 -8e-05  0.2 
-0.8334  0.367343  0.2 
-0.899063  0.41658  0.2 
-1.25006  0.651523  0.2 
-1.66672  0.775224  0.2 
-2.08338  0.799954  0.2 
-2.50004  0.740105  0.2 
-2.9167  0.560142  0.2 

